,,,,,,,,,,,
,,действие зависит от инструмента или объекта,,,,,,,,,
,,,,,,,,,,,
,0,0,1,2,3,4,5,6,7,8,9
,,смотреть,резать,мести,увеличивать,протыкать,точить,забивать,качать,ловить,застегивать
,1,10,11,12,13,14,15,16,17,18,19
,,поднимать,растягивать,играть,закручивать,ползать,чистить,шить,указывать,тянуть,взрываться
,2,20,21,22,23,24,25,26,27,28,29
,,шуметь,гладить,листать,открывать,ловить,рубить,звонить,точить,закручивать,дымить
,3,30,31,32,33,34,35,36,37,38,39
,,нажимать,падать,царапать,колоть,качаться,нагревать,открывать,красить,стучать,наливать
,4,40,41,42,43,44,45,46,47,48,49
,,свистеть,готовить,чистить,,пугать,,пить,идти,расти,ползать
,5,50,51,52,53,54,55,56,57,58,59
,,завязывать,застегивать,управлять,упаковывать,катить,говорить,пилить,сжимать,пьянеть,трогать
,6,60,61,62,63,64,65,66,67,68,69
,,измерять,кушать,плавать,,светить,,,,,
,7,70,71,72,73,74,75,76,77,78,79
,,закрывать,поджигать,,жарить,считать,зажигать,,,,отражать
,8,80,81,82,83,84,85,86,87,88,89
,,дуть,ехать,,включать,,,,,,
,9,90,91,92,93,94,95,96,97,98,99
,,,стрелять,,,писать,,крутить,включать,,чертить
